Age Group,Gender,Profession,Better Service Provider,Pocket friendly Service,Cashless transactions problem,Daily_spendings,Monthly_spending,Quality decider attribute,Frequency of booking ,Most usage day,Punctual service,Offer provider,Fast connector to driver,Faster issue resolver
15 - 30,Female,Student,Both provide equal quality,Ola,Never faced this issue,100,200,Pricing,Only on special occasions,Weekends,Ola,Ola,Ola,Never faced any issue
15 - 30,Female,Student,Both provide equal quality,Uber,Faced this issue equally in both,300,500,Pricing,2-3 times in a month,Weekdays,None of the above,None,Both equally,Never faced any issue
15 - 30,Male,Business,Both provide equal quality,Ola,Never faced this issue,50,500,Pricing,Only on special occasions,Weekends,Both equally,Ola,Both equally,Never faced any issue
15 - 30,Female,Student,Uber,Uber,More often in Ola,1000,1000,Pricing,Only on special occasions,Weekends,Uber,Uber,Uber,Uber
15 - 30,Female,Student,Both provide equal quality,Uber,Faced this issue equally in both,50,700,Car quality,Only on special occasions,Weekdays,Both equally,Uber,Both equally,Uber
15 - 30,Male,Student,Both provide equal quality,Ola,Never faced this issue,500,1000,Pricing,Only on special occasions,Weekends,Both equally,Ola,Both equally,Never faced any issue
15 - 30,Female,Business,Both provide equal quality,Ola,Never faced this issue,300,3000,Pricing,2-3 times in a week,Weekdays,Uber,Uber,Uber,Never faced any issue
15 - 30,Female,Business,Uber,Uber,Never faced this issue,100,2000,Punctuality,2-3 times in a week,Weekdays,Both equally,Uber,Ola,Never faced any issue
15 - 30,Female,Business,Ola,Uber,More often in Ola,200,2400,Driver's behaviour,2-3 times in a month,Weekends,Ola,Uber,Ola,Ola
30 - 50,Male,Government sector employee,Ola,Ola,More often in Uber,100,3500,Pricing,Daily,Weekdays,Uber,Uber,Ola,Uber
30 - 50,Male,Government sector employee,Uber,Uber,Never faced this issue,50,1600,Pricing,Daily,Weekdays,Uber,Uber,Both equally,Never faced any issue
50 +,Female,Unemployed,Uber,Uber,More often in Ola,600,800,Driver's behaviour,2-3 times in a month,Weekends,Ola,Uber,Uber,Uber
50 +,Male,Private sector employee,Ola,Ola,More often in Uber,200,2000,Punctuality,2-3 times in a week,Weekdays,Ola,Ola,Ola,Uber
30 - 50,Male,Business,Both provide equal quality,Ola,More often in Uber,900,4000,Pricing,2-3 times in a week,Weekdays,Uber,Uber,Uber,Ola
50 +,Male,Business,Ola,Ola,More often in Uber,100,2400,Pricing,Daily,Weekdays,Ola,Ola,Ola,Ola
30 - 50,Male,Government sector employee,Uber,Uber,More often in Ola,200,2000,Punctuality,2-3 times in a week,Weekdays,Uber,Uber,Uber,Uber
30 - 50,Female,Private sector employee,Uber,Uber,More often in Uber,100,1000,Punctuality,2-3 times in a week,Weekdays,Uber,Uber,Uber,Ola
15 - 30,Female,Student,Both provide equal quality,Uber,Never faced this issue,200,500,Pricing,Only on special occasions,Weekends,Uber,Uber,Both equally,Never faced any issue
30 - 50,Male,Private sector employee,Uber,Uber,More often in Ola,100,4000,Pricing,2-3 times in a week,Weekends,Uber,Uber,Uber,Uber
15 - 30,Male,Student,Ola,Ola,Never faced this issue,200,1000,Punctuality,Only on special occasions,Weekends,Ola,Ola,Ola,Never faced any issue
50 +,Male,Government sector employee,Both provide equal quality,Ola,More often in Ola,300,2000,Driver's behaviour,2-3 times in a month,Weekdays,Uber,Uber,Ola,Uber
50 +,Male,Business,Ola,Ola,More often in Uber,200,2700,Driver's behaviour,Daily,Weekdays,Ola,Uber,Ola,Ola
50 +,Female,Business,Uber,Ola,More often in Uber,400,2500,Punctuality,2-3 times in a week,Weekdays,Uber,Uber,Ola,Ola
30 - 50,Female,Government sector employee,Uber,Uber,More often in Uber,100,2000,Pricing,Daily,Weekdays,Uber,Uber,Uber,Uber
50 +,Male,Business,Ola,Ola,More often in Uber,100,1000,Pricing,2-3 times in a week,Weekends,Uber,Ola,Uber,Ola
50 +,Male,Government sector employee,Uber,Uber,More often in Ola,500,4000,Driver's behaviour,2-3 times in a week,Weekdays,Uber,Uber,Uber,None
